OrderID,CustomerID,ProductID,Quantity,OrderDate,PaymentMethod,OrderStatus,Discount,Rating
O00240,C289,P063,1,2025-02-08,UPI,Delivered,10,5
O00241,C212,P074,10,2025-02-28,UPI,Returned,20,4
O00242,C275,P014,8,2025-05-27,Card,Returned,10,1
O00243,C203,P008,1,2025-05-09,Card,Delivered,15,2
O00244,C086,P005,4,2025-02-19,Card,Delivered,15,1
O00245,C223,P033,4,2025-06-10,Card,Cancelled,10,1
O00246,C045,P037,7,2025-05-23,Net Banking,Cancelled,10,5
O00247,C235,P055,1,2025-06-29,Net Banking,Delivered,15,2
O00248,C076,P053,10,2025-05-31,UPI,Delivered,20,1
O00249,C147,P008,9,2025-03-30,Net Banking,Cancelled,15,4
O00250,C293,P058,10,2025-05-02,UPI,Shipped,10,4
O00251,C074,P047,10,2025-06-05,Net Banking,Delivered,15,3
O00252,C122,P013,1,2025-05-02,Cash,Cancelled,0,3
O00253,C156,P025,5,2025-03-13,Net Banking,Delivered,5,2
O00254,C154,P052,8,2025-03-24,Cash,Returned,20,1
O00255,C097,P060,8,2025-02-24,Net Banking,Returned,20,3
O00256,C029,P021,9,2025-02-10,UPI,Cancelled,20,4
O00257,C070,P008,9,2025-05-26,UPI,Shipped,5,2
O00258,C030,P045,4,2025-01-09,Net Banking,Delivered,10,2
O00259,C141,P030,6,2025-04-29,Net Banking,Delivered,0,2
O00260,C191,P059,8,2025-06-02,Net Banking,Shipped,15,5
O00261,C283,P014,6,2025-03-30,Card,Cancelled,0,3
O00262,C015,P070,7,2025-01-13,Card,Shipped,5,2
O00263,C106,P034,5,2025-06-16,Net Banking,Delivered,0,4
O00264,C068,P039,3,2025-06-03,UPI,Shipped,10,5
O00265,C157,P040,5,2025-04-19,Net Banking,Cancelled,15,3
O00266,C112,P015,8,2025-03-19,Net Banking,Delivered,0,5
O00267,C192,P030,9,2025-06-15,Cash,Cancelled,0,4
O00268,C033,P042,6,2025-03-12,Cash,Cancelled,10,3
O00269,C097,P039,3,2025-05-13,Card,Delivered,20,4
O00270,C164,P071,3,2025-01-07,Net Banking,Cancelled,10,4
O00271,C208,P056,7,2025-01-10,Card,Cancelled,5,5
O00272,C244,P038,6,2025-05-10,Cash,Shipped,20,2
O00273,C151,P045,2,2025-05-01,Card,Cancelled,20,2
O00274,C172,P068,2,2025-02-26,Cash,Shipped,10,4
O00275,C170,P058,6,2025-03-08,Cash,Returned,0,4
O00276,C028,P062,10,2025-05-29,UPI,Returned,5,5
O00277,C062,P029,7,2025-05-16,Cash,Returned,0,2
O00278,C071,P007,4,2025-03-29,Net Banking,Returned,5,3
O00279,C093,P047,2,2025-05-05,Cash,Shipped,10,1
O00280,C003,P051,8,2025-03-12,Card,Shipped,20,2
O00281,C251,P060,2,2025-02-03,Net Banking,Returned,15,4
O00282,C245,P020,7,2025-01-02,UPI,Shipped,10,1
O00283,C165,P004,9,2025-02-18,UPI,Delivered,5,2
O00284,C177,P009,5,2025-02-03,UPI,Returned,20,5
O00285,C157,P011,3,2025-01-17,UPI,Cancelled,10,4
O00286,C267,P030,10,2025-05-15,Cash,Returned,5,3
O00287,C251,P036,6,2025-02-18,Card,Returned,0,2
O00288,C115,P002,3,2025-02-24,UPI,Shipped,0,3
O00289,C020,P031,7,2025-06-13,Cash,Delivered,20,1
O00290,C056,P036,1,2025-01-13,UPI,Returned,15,4
O00291,C064,P029,9,2025-03-06,Net Banking,Shipped,5,1
O00292,C155,P052,7,2025-06-19,UPI,Cancelled,20,5
O00293,C071,P032,7,2025-01-27,UPI,Cancelled,0,1
O00294,C255,P072,4,2025-06-05,Card,Cancelled,20,2
O00295,C184,P074,7,2025-03-17,Card,Delivered,20,4
O00296,C107,P062,8,2025-03-26,Card,Delivered,0,1
O00297,C057,P002,10,2025-06-21,Net Banking,Shipped,0,5
O00298,C039,P012,2,2025-03-07,Card,Returned,10,3
O00299,C238,P036,1,2025-01-26,Card,Delivered,10,3
O00300,C161,P047,7,2025-01-30,UPI,Delivered,0,2
O00301,C088,P040,6,2025-04-02,Net Banking,Cancelled,0,3
O00302,C176,P065,3,2025-01-30,Net Banking,Returned,15,3
O00303,C198,P010,8,2025-04-18,Card,Delivered,5,1
O00304,C082,P019,2,2025-04-17,Net Banking,Returned,5,5
O00305,C195,P020,6,2025-06-06,UPI,Shipped,15,4
O00306,C058,P072,7,2025-04-23,UPI,Delivered,10,3
O00307,C007,P067,9,2025-05-28,Card,Cancelled,20,5
O00308,C049,P038,7,2025-06-19,Card,Returned,10,4
O00309,C077,P035,9,2025-06-06,UPI,Delivered,5,5
O00310,C241,P007,8,2025-02-12,UPI,Returned,10,2
O00311,C170,P024,5,2025-01-13,Card,Returned,15,2
O00312,C041,P047,8,2025-04-24,Net Banking,Delivered,15,4
O00313,C162,P048,2,2025-05-08,UPI,Delivered,15,4
O00314,C019,P075,9,2025-05-21,UPI,Delivered,20,5
O00315,C156,P042,9,2025-05-24,Card,Returned,10,3
O00316,C028,P017,4,2025-04-27,Cash,Returned,10,4
O00317,C059,P014,2,2025-06-18,Card,Delivered,10,3
O00318,C150,P038,9,2025-05-14,Cash,Delivered,0,2
O00319,C253,P036,3,2025-04-15,UPI,Cancelled,20,2
O00320,C097,P008,2,2025-04-11,Card,Returned,5,3
O00321,C056,P027,7,2025-01-12,UPI,Returned,15,5
O00322,C259,P026,3,2025-05-08,UPI,Delivered,20,4
O00323,C300,P074,8,2025-05-11,Card,Shipped,5,1
O00324,C199,P063,10,2025-06-05,Cash,Returned,15,5
O00325,C128,P001,5,2025-04-12,Cash,Cancelled,15,2
O00326,C071,P025,7,2025-06-04,Cash,Cancelled,20,2
O00327,C103,P002,4,2025-06-09,Cash,Cancelled,5,2
O00328,C258,P038,9,2025-06-27,Cash,Delivered,10,5
O00329,C246,P066,10,2025-05-27,Net Banking,Cancelled,15,1
O00330,C268,P047,2,2025-01-07,Net Banking,Shipped,0,1
O00331,C103,P021,5,2025-02-11,Cash,Cancelled,5,1
O00332,C152,P018,4,2025-05-19,UPI,Cancelled,15,1
O00333,C288,P050,4,2025-06-15,Net Banking,Shipped,20,3
O00334,C025,P018,7,2025-04-10,Net Banking,Cancelled,20,1
O00335,C007,P046,5,2025-02-21,Net Banking,Shipped,10,5
O00336,C280,P038,10,2025-02-20,Card,Cancelled,15,2
O00337,C039,P052,3,2025-02-14,UPI,Returned,0,4
O00338,C143,P021,9,2025-03-09,Card,Shipped,20,3
O00339,C003,P046,6,2025-04-30,Card,Delivered,5,3
O00340,C027,P049,10,2025-06-19,Cash,Returned,20,5
O00341,C184,P023,2,2025-03-23,Card,Shipped,20,1
O00342,C259,P048,3,2025-04-17,Net Banking,Delivered,10,2
O00343,C110,P073,6,2025-03-26,Cash,Cancelled,5,5
O00344,C272,P047,8,2025-05-24,UPI,Delivered,10,4
O00345,C124,P063,10,2025-06-09,Card,Delivered,10,4
O00346,C059,P005,7,2025-03-07,Cash,Delivered,20,3
O00347,C264,P017,9,2025-04-25,Net Banking,Delivered,10,2
O00348,C165,P068,9,2025-01-22,UPI,Shipped,20,5
O00349,C004,P067,2,2025-02-23,Card,Returned,0,2
O00350,C276,P067,7,2025-06-15,UPI,Shipped,0,4
O00351,C170,P037,1,2025-01-23,UPI,Delivered,5,3
O00352,C286,P026,2,2025-05-28,Card,Cancelled,15,4
O00353,C231,P064,7,2025-04-21,Cash,Delivered,15,1
O00354,C274,P024,1,2025-06-14,UPI,Delivered,0,3
O00355,C258,P012,2,2025-03-16,Cash,Delivered,10,4
O00356,C196,P003,7,2025-06-19,UPI,Returned,5,5
O00357,C113,P051,3,2025-04-11,Cash,Shipped,10,3
O00358,C006,P050,9,2025-05-23,Card,Delivered,0,1
O00359,C294,P017,10,2025-04-11,UPI,Cancelled,5,3
O00360,C109,P037,7,2025-06-15,Card,Shipped,5,2
O00361,C130,P064,4,2025-01-30,Card,Delivered,20,4
O00362,C282,P050,2,2025-03-16,UPI,Cancelled,0,2
O00363,C298,P038,8,2025-03-26,Cash,Shipped,5,1
O00364,C146,P052,10,2025-01-18,Card,Cancelled,15,4
O00365,C169,P007,10,2025-06-18,Cash,Shipped,20,5
O00366,C187,P010,6,2025-04-20,Card,Delivered,10,2
O00367,C114,P063,7,2025-03-12,Cash,Shipped,10,4
O00368,C237,P067,8,2025-04-02,Cash,Returned,20,1
O00369,C090,P031,10,2025-01-21,Cash,Shipped,20,2
O00370,C135,P034,2,2025-01-20,UPI,Delivered,20,5
O00371,C208,P029,10,2025-02-24,UPI,Cancelled,20,5
O00372,C242,P014,3,2025-04-04,Net Banking,Shipped,20,3
O00373,C069,P016,8,2025-05-09,UPI,Returned,10,5
O00374,C006,P041,4,2025-06-07,Card,Shipped,15,2
O00375,C092,P013,10,2025-05-25,Card,Returned,10,1
O00376,C113,P007,8,2025-03-01,UPI,Cancelled,10,2
O00377,C022,P036,4,2025-05-13,Cash,Returned,15,4
O00378,C024,P050,1,2025-06-16,Cash,Delivered,20,3
O00379,C135,P060,10,2025-05-20,Card,Returned,15,3
O00380,C040,P025,9,2025-03-06,Net Banking,Shipped,20,4
O00381,C181,P031,6,2025-05-05,Net Banking,Delivered,20,2
O00382,C226,P060,3,2025-02-28,UPI,Cancelled,5,2
O00383,C096,P033,3,2025-04-03,UPI,Shipped,15,3
O00384,C059,P035,8,2025-06-22,Net Banking,Returned,5,5
O00385,C083,P059,7,2025-01-06,Card,Delivered,5,5
O00386,C083,P001,3,2025-06-11,UPI,Shipped,0,2
O00387,C133,P058,3,2025-05-13,Net Banking,Delivered,10,1
O00388,C111,P021,8,2025-06-05,Net Banking,Returned,5,2
O00389,C211,P063,10,2025-02-06,Card,Cancelled,5,3
O00390,C233,P035,10,2025-06-01,UPI,Shipped,15,4
O00391,C068,P067,2,2025-01-05,Card,Returned,5,5
O00392,C050,P056,3,2025-05-02,UPI,Delivered,0,4
O00393,C067,P068,10,2025-05-19,UPI,Returned,20,4
O00394,C190,P018,1,2025-06-28,Net Banking,Shipped,15,4
O00395,C180,P061,10,2025-06-28,UPI,Returned,5,3
O00396,C245,P003,4,2025-01-22,Cash,Returned,10,2
O00397,C003,P012,1,2025-05-28,UPI,Delivered,15,2
O00398,C162,P011,7,2025-04-03,UPI,Shipped,15,5
O00399,C130,P047,5,2025-05-18,Net Banking,Cancelled,20,3
O00400,C204,P010,4,2025-04-16,Net Banking,Shipped,10,5
O00401,C285,P046,8,2025-03-06,Cash,Cancelled,15,2
O00402,C061,P022,4,2025-04-25,Card,Delivered,5,5
O00403,C206,P045,6,2025-05-21,UPI,Shipped,15,1
O00404,C047,P002,3,2025-05-01,Net Banking,Delivered,0,3
O00405,C114,P043,6,2025-01-21,UPI,Returned,15,5
O00406,C267,P044,5,2025-06-02,UPI,Shipped,15,4
O00407,C006,P005,4,2025-06-18,Cash,Shipped,0,5
O00408,C262,P043,9,2025-06-28,Card,Shipped,0,3
O00409,C123,P048,1,2025-02-10,UPI,Cancelled,15,3
O00410,C203,P051,7,2025-05-31,Card,Delivered,0,1
O00411,C282,P035,5,2025-05-24,Cash,Cancelled,10,2
O00412,C100,P067,8,2025-04-14,UPI,Cancelled,5,4
O00413,C260,P005,2,2025-05-24,UPI,Cancelled,10,1
O00414,C263,P044,5,2025-05-18,Cash,Returned,15,5
O00415,C248,P054,4,2025-03-28,Net Banking,Returned,20,1
O00416,C247,P056,2,2025-03-08,UPI,Returned,5,2
O00417,C162,P036,7,2025-04-01,UPI,Cancelled,5,3
O00418,C048,P038,7,2025-06-22,Cash,Delivered,20,2
O00419,C244,P041,6,2025-04-01,Card,Cancelled,5,2
O00420,C256,P008,4,2025-03-02,Card,Cancelled,5,2
O00421,C104,P035,4,2025-06-08,Cash,Shipped,0,1
O00422,C041,P011,8,2025-06-07,UPI,Delivered,15,3
O00423,C162,P037,8,2025-05-28,Cash,Returned,5,5
O00424,C144,P035,7,2025-02-26,Card,Delivered,20,4
O00425,C245,P066,9,2025-01-09,Cash,Returned,5,4
O00426,C062,P062,9,2025-04-28,Cash,Delivered,0,2
O00427,C195,P059,10,2025-01-26,Cash,Cancelled,20,3
O00428,C096,P002,9,2025-03-09,Card,Cancelled,15,5
O00429,C176,P044,6,2025-02-17,Net Banking,Returned,5,4
O00430,C191,P067,6,2025-04-13,Cash,Returned,5,5
O00431,C068,P071,10,2025-06-25,Card,Delivered,10,2
